"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"484191573920342017","484191084315021312","29752531","2014-07-02 04:27:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@krogsgard yes :-) This ability needs to be better communicated somehow.","","","",""
"484188277088321539","","","2014-07-02 04:14:15 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Filed WP core ticket to add JS models to facilitate dynamically creating Customizer sections and their controls:  https://t.co/MhiNFJeVKR","","","","https://core.trac.wordpress.org/ticket/28709"
"484187703664472064","","","2014-07-02 04:11:58 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Wrote patch for WP Customizer to add support for contextual (URL-specific) controls via an active_callback &amp; state: https://t.co/4IjsqRHC4m","","","","https://core.trac.wordpress.org/ticket/27993#comment:9"
"484107882452246528","482503444217860096","234759798","2014-07-01 22:54:48 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@mattreport @fjarrett @mattmedeiros  finally got around to listening to this. Great interview!","","","",""
"483835242587762688","483824395714981891","2565702482","2014-07-01 04:51:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@_ndsmith IT HAS BEEN REMADE. #lotr","","","",""
"483466705172459520","482729981621964800","1299231","2014-06-30 04:26:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mattwiebe @Krogsgard @carlhancock we've got work to do, but I'm confident the Customizer can fly, esp. in conjunction w/ Front-end editor.","","","",""
"483299101715726336","483298853475848192","17101544","2014-06-29 17:20:59 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@rarst sure :-) https://t.co/G3fooxT8la","","","","https://github.com/WordPress-Coding-Standards/WordPress-Coding-Standards/pull/164#issuecomment-47183539"
"483298668741935104","483298006692024321","17101544","2014-06-29 17:19:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Rarst that is the dir I am talking about. If we rename the Sniffs dir then it seems custom rulesets need to reference sniffs by filename","","","",""
"483297861451264000","483297205642854400","17101544","2014-06-29 17:16:04 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Rarst that would require renaming the Sniffs dir as any root rulesets automatically import rules from a Sniffs subdir in the same directory","","","",""
"483296896296173568","483294854332829696","17101544","2014-06-29 17:12:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Rarst ah, so without would be just WordPressCore. And you can just reference .../WordPress/Subsets/core.ruleset.xml as the PHPCS standard.","","","",""
"483295564382359553","483294854332829696","17101544","2014-06-29 17:06:56 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Rarst ideally yes, but I haven't yet understood how it should be done and maximize ease of use. I haven't fully digested the comments yet.","","","",""
"483294570265202688","483293257901027329","17101544","2014-06-29 17:02:59 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@rarst um, well, I have the WordPressVIP repo checked out in the PHPCS Standards directory: https://t.co/vCIfXXBRom","","","","https://github.com/WordPress-Coding-Standards/WordPressVIP"
